year,Province,Age Gruop,Population
2039,นนทบุรี,Infant,0.0
2040,นนทบุรี,Infant,0.0
2041,นนทบุรี,Infant,0.0
2042,นนทบุรี,Infant,0.0
2043,นนทบุรี,Infant,0.0
2044,นนทบุรี,Infant,0.0
2045,นนทบุรี,Infant,0.0
2046,นนทบุรี,Infant,0.0
2047,นนทบุรี,Infant,0.0
2048,นนทบุรี,Infant,0.0
2049,นนทบุรี,Infant,0.0
2050,นนทบุรี,Infant,0.0
2013,ปทุมธานี,Infant,37439.52949176424
2014,ปทุมธานี,Infant,36792.95896023401
2015,ปทุมธานี,Infant,36584.85772948796
2016,ปทุมธานี,Infant,34339.93360440701
2017,ปทุมธานี,Infant,33644.209021382114
2018,ปทุมธานี,Infant,33303.43540716221
2019,ปทุมธานี,Infant,32682.047172263265
2020,ปทุมธานี,Infant,32081.941361809913
2021,ปทุมธานี,Infant,30363.570535075665
2022,ปทุมธานี,Infant,28298.267025291454
2023,ปทุมธานี,Infant,26756.615651743006
2024,ปทุมธานี,Infant,25324.751862235444
2025,ปทุมธานี,Infant,23892.88807272788
2026,ปทุมธานี,Infant,22461.02428322032
2027,ปทุมธานี,Infant,21029.160493712756
2028,ปทุมธานี,Infant,19597.296704205197
2029,ปทุมธานี,Infant,18165.43291469763
2030,ปทุมธานี,Infant,16733.56912519007
2031,ปทุมธานี,Infant,15301.705335682507
2032,ปทุมธานี,Infant,13869.841546174945
2033,ปทุมธานี,Infant,12437.977756667382
2034,ปทุมธานี,Infant,11006.113967159821
2035,ปทุมธานี,Infant,9574.250177652259
2036,ปทุมธานี,Infant,8142.386388144696
2037,ปทุมธานี,Infant,6710.522598637133
2038,ปทุมธานี,Infant,5278.658809129571
2039,ปทุมธานี,Infant,3846.795019622008
2040,ปทุมธานี,Infant,2414.9312301144455
2041,ปทุมธานี,Infant,983.0674406068829
2042,ปทุมธานี,Infant,0.0
2043,ปทุมธานี,Infant,0.0
2044,ปทุมธานี,Infant,0.0
2045,ปทุมธานี,Infant,0.0
2046,ปทุมธานี,Infant,0.0
2047,ปทุมธานี,Infant,0.0
2048,ปทุมธานี,Infant,0.0
2049,ปทุมธานี,Infant,0.0
2050,ปทุมธานี,Infant,0.0
2013,พระนครศรีอยุธยา,Infant,26793.861186334598
2014,พระนครศรีอยุธยา,Infant,27213.500102151225
2015,พระนครศรีอยุธยา,Infant,26280.326950078328
2016,พระนครศรีอยุธยา,Infant,24612.960645291107
2017,พระนครศรีอยุธยา,Infant,23031.33001649715
2018,พระนครศรีอยุธยา,Infant,22353.298713039352
2019,พระนครศรีอยุธยา,Infant,22243.377229237987
2020,พระนครศรีอยุธยา,Infant,21830.058062575987
2021,พระนครศรีอยุธยา,Infant,20621.945123534097
2022,พระนครศรีอยุธยา,Infant,18903.32015766053
2023,พระนครศรีอยุธยา,Infant,17508.13756935192
2024,พระนครศรีอยุธยา,Infant,16174.195949386309
2025,พระนครศรีอยุธยา,Infant,14840.254329420699
2026,พระนครศรีอยุธยา,Infant,13506.312709455091
2027,พระนครศรีอยุธยา,Infant,12172.371089489481
2028,พระนครศรีอยุธยา,Infant,10838.429469523871
2029,พระนครศรีอยุธยา,Infant,9504.487849558263
2030,พระนครศรีอยุธยา,Infant,8170.546229592654
2031,พระนครศรีอยุธยา,Infant,6836.604609627044
2032,พระนครศรีอยุธยา,Infant,5502.662989661436
2033,พระนครศรีอยุธยา,Infant,4168.721369695826
2034,พระนครศรีอยุธยา,Infant,2834.7797497302163
2035,พระนครศรีอยุธยา,Infant,1500.8381297646083
2036,พระนครศรีอยุธยา,Infant,166.89650979900034
2037,พระนครศรีอยุธยา,Infant,0.0
2038,พระนครศรีอยุธยา,Infant,0.0
2039,พระนครศรีอยุธยา,Infant,0.0
2040,พระนครศรีอยุธยา,Infant,0.0
2041,พระนครศรีอยุธยา,Infant,0.0
2042,พระนครศรีอยุธยา,Infant,0.0
2043,พระนครศรีอยุธยา,Infant,0.0
2044,พระนครศรีอยุธยา,Infant,0.0
2045,พระนครศรีอยุธยา,Infant,0.0
2046,พระนครศรีอยุธยา,Infant,0.0
2047,พระนครศรีอยุธยา,Infant,0.0
2048,พระนครศรีอยุธยา,Infant,0.0
2049,พระนครศรีอยุธยา,Infant,0.0
2050,พระนครศรีอยุธยา,Infant,0.0
2013,อ่างทอง,Infant,8553.513461869234
2014,อ่างทอง,Infant,8184.955153169662
2015,อ่างทอง,Infant,7816.396845938723
2016,อ่างทอง,Infant,7447.838538105156
2017,อ่างทอง,Infant,7079.280229981885
2018,อ่างทอง,Infant,6710.72192052583
2019,อ่างทอง,Infant,6342.163611674139
2020,อ่างทอง,Infant,5973.605304395391
2021,อ่างทอง,Infant,5605.046997139863
2022,อ่างทอง,Infant,5236.488689564829
2023,อ่างทอง,Infant,4867.930380463295
2024,อ่างทอง,Infant,4499.372072322716
2025,อ่างทอง,Infant,4130.813764182138
2026,อ่างทอง,Infant,3762.25545604156
2027,อ่างทอง,Infant,3393.697147900982
2028,อ่างทอง,Infant,3025.138839760404
2029,อ่างทอง,Infant,2656.580531619826
2030,อ่างทอง,Infant,2288.022223479248
2031,อ่างทอง,Infant,1919.4639153386702
2032,อ่างทอง,Infant,1550.9056071980922
2033,อ่างทอง,Infant,1182.3472990575142
2034,อ่างทอง,Infant,813.7889909169362
2035,อ่างทอง,Infant,445.23068277635775
2036,อ่างทอง,Infant,76.67237463578022
2037,อ่างทอง,Infant,0.0
2038,อ่างทอง,Infant,0.0
2039,อ่างทอง,Infant,0.0
2040,อ่างทอง,Infant,0.0
2041,อ่างทอง,Infant,0.0
2042,อ่างทอง,Infant,0.0
2043,อ่างทอง,Infant,0.0
2044,อ่างทอง,Infant,0.0
2045,อ่างทอง,Infant,0.0
2046,อ่างทอง,Infant,0.0
2047,อ่างทอง,Infant,0.0
2048,อ่างทอง,Infant,0.0
2049,อ่างทอง,Infant,0.0
2050,อ่างทอง,Infant,0.0
2013,ลพบุรี,Infant,23547.592595996357
2014,ลพบุรี,Infant,22733.40740385432
2015,ลพบุรี,Infant,21870.693895002492
2016,ลพบุรี,Infant,20594.02907223913
2017,ลพบุรี,Infant,19764.55212488103
2018,ลพบุรี,Infant,19096.772308953008
2019,ลพบุรี,Infant,18524.84396686779
2020,ลพบุรี,Infant,17749.918849302772
2021,ลพบุรี,Infant,16853.235272476297
2022,ลพบุรี,Infant,15687.164032629324
2023,ลพบุรี,Infant,14481.366154265543
2024,ลพบุรี,Infant,13550.177817061893
2025,ลพบุรี,Infant,12618.989479858245
2026,ลพบุรี,Infant,11687.801142654596
2027,ลพบุรี,Infant,10756.612805450946
2028,ลพบุรี,Infant,9825.424468247298
2029,ลพบุรี,Infant,8894.23613104365
2030,ลพบุรี,Infant,7963.04779384
2031,ลพบุรี,Infant,7031.859456636352
2032,ลพบุรี,Infant,6100.671119432702
2033,ลพบุรี,Infant,5169.482782229054
2034,ลพบุรี,Infant,4238.294445025405
2035,ลพบุรี,Infant,3307.1061078217554
2036,ลพบุรี,Infant,2375.917770618107
2037,ลพบุรี,Infant,1444.7294334144572
2038,ลพบุรี,Infant,513.541096210809
2039,ลพบุรี,Infant,0.0
2040,ลพบุรี,Infant,0.0
2041,ลพบุรี,Infant,0.0
2042,ลพบุรี,Infant,0.0
2043,ลพบุรี,Infant,0.0
2044,ลพบุรี,Infant,0.0
2045,ลพบุรี,Infant,0.0
2046,ลพบุรี,Infant,0.0
2047,ลพบุรี,Infant,0.0
2048,ลพบุรี,Infant,0.0
2049,ลพบุรี,Infant,0.0
2050,ลพบุรี,Infant,0.0
2013,สิงห์บุรี,Infant,6134.12982345212
2014,สิงห์บุรี,Infant,5879.811167060724
2015,สิงห์บุรี,Infant,5625.494419863197
2016,สิงห์บุรี,Infant,5371.1712588599585
2017,สิงห์บุรี,Infant,5116.8513233889835
2018,สิงห์บุรี,Infant,4862.5285356626355
2019,สิงห์บุรี,Infant,4608.211373557901
2020,สิงห์บุรี,Infant,4353.892636577031
2021,สิงห์บุรี,Infant,4099.576853998509
2022,สิงห์บุรี,Infant,3845.258451291137
2023,สิงห์บุรี,Infant,3590.935957513842
2024,สิงห์บุรี,Infant,3336.6165706329502
2025,สิงห์บุรี,Infant,3082.297183752058
2026,สิงห์บุรี,Infant,2827.977796871166
2027,สิงห์บุรี,Infant,2573.6584099902743
2028,สิงห์บุรี,Infant,2319.339023109382
2029,สิงห์บุรี,Infant,2065.0196362284905
2030,สิงห์บุรี,Infant,1810.7002493475984
2031,สิงห์บุรี,Infant,1556.3808624667063
2032,สิงห์บุรี,Infant,1302.0614755858146
2033,สิงห์บุรี,Infant,1047.7420887049225
2034,สิงห์บุรี,Infant,793.4227018240304
2035,สิงห์บุรี,Infant,539.1033149431387
2036,สิงห์บุรี,Infant,284.78392806224656
2037,สิงห์บุรี,Infant,30.46454118135489
2038,สิงห์บุรี,Infant,0.0
2039,สิงห์บุรี,Infant,0.0
2040,สิงห์บุรี,Infant,0.0
2041,สิงห์บุรี,Infant,0.0
2042,สิงห์บุรี,Infant,0.0
2043,สิงห์บุรี,Infant,0.0
2044,สิงห์บุรี,Infant,0.0
2045,สิงห์บุรี,Infant,0.0
2046,สิงห์บุรี,Infant,0.0
2047,สิงห์บุรี,Infant,0.0
2048,สิงห์บุรี,Infant,0.0
2049,สิงห์บุรี,Infant,0.0
2050,สิงห์บุรี,Infant,0.0
2013,ชัยนาท,Infant,9992.773244097983
2014,ชัยนาท,Infant,9559.128975500436
2015,ชัยนาท,Infant,9125.508415074952
2016,ชัยนาท,Infant,8691.877193836079
2017,ชัยนาท,Infant,8258.249463719607
2018,ชัยนาท,Infant,7824.627878209637
2019,ชัยนาท,Infant,7391.006119476623
2020,ชัยนาท,Infant,6957.380649538488
2021,ชัยนาท,Infant,6523.752226536779
2022,ชัยนาท,Infant,6090.11705977846
2023,ชัยนาท,Infant,5656.481846162984
2024,ชัยนาท,Infant,5222.85271168701
2025,ชัยนาท,Infant,4789.223577211036
2026,ชัยนาท,Infant,4355.594442735062
2027,ชัยนาท,Infant,3921.965308259089
2028,ชัยนาท,Infant,3488.3361737831156
2029,ชัยนาท,Infant,3054.7070393071417
2030,ชัยนาท,Infant,2621.077904831168
2031,ชัยนาท,Infant,2187.448770355194
2032,ชัยนาท,Infant,1753.8196358792202
2033,ชัยนาท,Infant,1320.1905014032463
2034,ชัยนาท,Infant,886.5613669272734
2035,ชัยนาท,Infant,452.93223245129957
2036,ชัยนาท,Infant,19.303097975325727
2037,ชัยนาท,Infant,0.0
2038,ชัยนาท,Infant,0.0
2039,ชัยนาท,Infant,0.0
2040,ชัยนาท,Infant,0.0
2041,ชัยนาท,Infant,0.0
2042,ชัยนาท,Infant,0.0
2043,ชัยนาท,Infant,0.0
2044,ชัยนาท,Infant,0.0
2045,ชัยนาท,Infant,0.0
2046,ชัยนาท,Infant,0.0
2047,ชัยนาท,Infant,0.0
2048,ชัยนาท,Infant,0.0
2049,ชัยนาท,Infant,0.0
2050,ชัยนาท,Infant,0.0
2013,สระบุรี,Infant,22303.79695751351
2014,สระบุรี,Infant,21615.883375045443
2015,สระบุรี,Infant,21188.65882718024
2016,สระบุรี,Infant,20292.652498156764
2017,สระบุรี,Infant,19643.65341466655
2018,สระบุรี,Infant,18937.222375489684
2019,สระบุรี,Infant,18209.988046636587
2020,สระบุรี,Infant,17260.281279754414
2021,สระบุรี,Infant,16306.698602765988
2022,สระบุรี,Infant,15296.432895791391
2023,สระบุรี,Infant,14227.178621270803
2024,สระบุรี,Infant,13238.034189726033
2025,สระบุรี,Infant,12248.889758181265
2026,สระบุรี,Infant,11259.745326636497
2027,สระบุรี,Infant,10270.60089509173
2028,สระบุรี,Infant,9281.456463546961
2029,สระบุรี,Infant,8292.312032002192
2030,สระบุรี,Infant,7303.167600457424
2031,สระบุรี,Infant,6314.023168912656
2032,สระบุรี,Infant,5324.878737367888
2033,สระบุรี,Infant,4335.734305823118
2034,สระบุรี,Infant,3346.58987427835
2035,สระบุรี,Infant,2357.4454427335822
2036,สระบุรี,Infant,1368.3010111888125
2037,สระบุรี,Infant,379.15657964404454
2038,สระบุรี,Infant,0.0
2039,สระบุรี,Infant,0.0
2040,สระบุรี,Infant,0.0
2041,สระบุรี,Infant,0.0
2042,สระบุรี,Infant,0.0
2043,สระบุรี,Infant,0.0
2044,สระบุรี,Infant,0.0
2045,สระบุรี,Infant,0.0
2046,สระบุรี,Infant,0.0
2047,สระบุรี,Infant,0.0
2048,สระบุรี,Infant,0.0
2049,สระบุรี,Infant,0.0
2050,สระบุรี,Infant,0.0
2013,ชลบุรี,Infant,55678.0
2014,ชลบุรี,Infant,55647.63499795919
2015,ชลบุรี,Infant,55707.32402155835
2016,ชลบุรี,Infant,53554.26253673183
2017,ชลบุรี,Infant,53087.41928912808
2018,ชลบุรี,Infant,51995.61232445724
2019,ชลบุรี,Infant,50488.226302175586
2020,ชลบุรี,Infant,49897.922901044825
2021,ชลบุรี,Infant,45800.14570131947
2022,ชลบุรี,Infant,41956.899319700184
2023,ชลบุรี,Infant,38553.317968519674
2024,ชลบุรี,Infant,35300.30213140491
2025,ชลบุรี,Infant,32047.28629429014
2026,ชลบุรี,Infant,28794.27045717537
2027,ชลบุรี,Infant,25541.254620060605
2028,ชลบุรี,Infant,22288.23878294584
2029,ชลบุรี,Infant,19035.22294583107
2030,ชลบุรี,Infant,15782.207108716302
2031,ชลบุรี,Infant,12529.191271601536
2032,ชลบุรี,Infant,9276.175434486766
2033,ชลบุรี,Infant,6023.159597371996
2034,ชลบุรี,Infant,2770.143760257233
2035,ชลบุรี,Infant,0.0
2036,ชลบุรี,Infant,0.0
2037,ชลบุรี,Infant,0.0
2038,ชลบุรี,Infant,0.0
2039,ชลบุรี,Infant,0.0
2040,ชลบุรี,Infant,0.0
2041,ชลบุรี,Infant,0.0
2042,ชลบุรี,Infant,0.0
2043,ชลบุรี,Infant,0.0
2044,ชลบุรี,Infant,0.0
2045,ชลบุรี,Infant,0.0
2046,ชลบุรี,Infant,0.0
2047,ชลบุรี,Infant,0.0
2048,ชลบุรี,Infant,0.0
2049,ชลบุรี,Infant,0.0
2050,ชลบุรี,Infant,0.0
2013,ระยอง,Infant,26914.76585711634
2014,ระยอง,Infant,26752.383603092392
2015,ระยอง,Infant,26258.542242864754
2016,ระยอง,Infant,25112.005632317163
2017,ระยอง,Infant,24271.107039411352
2018,ระยอง,Infant,23823.36822334069
2019,ระยอง,Infant,23410.293665241334
2020,ระยอง,Infant,23708.654762818456
2021,ระยอง,Infant,22649.432689145127
2022,ระยอง,Infant,21561.617487982192
2023,ระยอง,Infant,19709.67976932465
2024,ระยอง,Infant,18445.561504701393
2025,ระยอง,Infant,17181.443240078133
2026,ระยอง,Infant,15917.324975454872
2027,ระยอง,Infant,14653.206710831613
2028,ระยอง,Infant,13389.088446208352
2029,ระยอง,Infant,12124.970181585093
2030,ระยอง,Infant,10860.851916961834
2031,ระยอง,Infant,9596.733652338575
2032,ระยอง,Infant,8332.615387715316
2033,ระยอง,Infant,7068.497123092055
2034,ระยอง,Infant,5804.378858468795
2035,ระยอง,Infant,4540.2605938455345
2036,ระยอง,Infant,3276.1423292222753
2037,ระยอง,Infant,2012.0240645990161
2038,ระยอง,Infant,747.905799975757
2039,ระยอง,Infant,0.0
2040,ระยอง,Infant,0.0
2041,ระยอง,Infant,0.0
2042,ระยอง,Infant,0.0
2043,ระยอง,Infant,0.0
2044,ระยอง,Infant,0.0
2045,ระยอง,Infant,0.0
2046,ระยอง,Infant,0.0
2047,ระยอง,Infant,0.0
2048,ระยอง,Infant,0.0
2049,ระยอง,Infant,0.0
2050,ระยอง,Infant,0.0
2013,จันทบุรี,Infant,18698.624505525735
2014,จันทบุรี,Infant,18349.182631990647
2015,จันทบุรี,Infant,17972.000000639608
2016,จันทบุรี,Infant,16626.000021767875
2017,จันทบุรี,Infant,15917.999989405274
2018,จันทบุรี,Infant,15466.99999371171
2019,จันทบุรี,Infant,15382.999990567565
2020,จันทบุรี,Infant,14815.000008836389
2021,จันทบุรี,Infant,14413.999997079372
2022,จันทบุรี,Infant,13508.000011071563
2023,จันทบุรี,Infant,12636.000001013279
2024,จันทบุรี,Infant,11866.00000050664
2025,จันทบุรี,Infant,11096.0
2026,จันทบุรี,Infant,10325.99999949336
2027,จันทบุรี,Infant,9555.999998986721
2028,จันทบุรี,Infant,8785.999998480082
2029,จันทบุรี,Infant,8015.999997973443
2030,จันทบุรี,Infant,7245.9999974668035
2031,จันทบุรี,Infant,6475.999996960164
2032,จันทบุรี,Infant,5705.999996453525
2033,จันทบุรี,Infant,4935.999995946886
2034,จันทบุรี,Infant,4165.9999954402465
2035,จันทบุรี,Infant,3395.999994933607
2036,จันทบุรี,Infant,2625.9999944269675
2037,จันทบุรี,Infant,1855.999993920328
2038,จันทบุรี,Infant,1085.9999934136886
2039,จันทบุรี,Infant,315.9999929070491
2040,จันทบุรี,Infant,0.0
2041,จันทบุรี,Infant,0.0
2042,จันทบุรี,Infant,0.0
2043,จันทบุรี,Infant,0.0
2044,จันทบุรี,Infant,0.0
2045,จันทบุรี,Infant,0.0
2046,จันทบุรี,Infant,0.0
2047,จันทบุรี,Infant,0.0
2048,จันทบุรี,Infant,0.0
2049,จันทบุรี,Infant,0.0
2050,จันทบุรี,Infant,0.0
2013,ตราด,Infant,7771.7982892480995
2014,ตราด,Infant,7668.362255481363
2015,ตราด,Infant,7564.000000049002
2016,ตราด,Infant,6750.00001587924
2017,ตราด,Infant,6363.999993085861
2018,ตราด,Infant,5993.999999374151
2019,ตราด,Infant,6019.999990954995
2020,ตราด,Infant,6130.999996528029
2021,ตราด,Infant,5566.0000140070915
2022,ตราด,Infant,5174.99999807775
2023,ตราด,Infant,4858.9999986588955
2024,ตราด,Infant,4527.999997541308
2025,ตราด,Infant,4196.999996423721
2026,ตราด,Infant,3865.999995306134
2027,ตราด,Infant,3534.999994188547
2028,ตราด,Infant,3203.9999930709596
2029,ตราด,Infant,2872.9999919533725
2030,ตราด,Infant,2541.9999908357854
2031,ตราด,Infant,2210.9999897181983
2032,ตราด,Infant,1879.9999886006112
2033,ตราด,Infant,1548.9999874830241
2034,ตราด,Infant,1217.9999863654366
2035,ตราด,Infant,886.9999852478495
2036,ตราด,Infant,555.9999841302624
2037,ตราด,Infant,224.99998301267533
2038,ตราด,Infant,0.0
2039,ตราด,Infant,0.0
2040,ตราด,Infant,0.0
2041,ตราด,Infant,0.0
2042,ตราด,Infant,0.0
2043,ตราด,Infant,0.0
2044,ตราด,Infant,0.0
2045,ตราด,Infant,0.0
2046,ตราด,Infant,0.0
2047,ตราด,Infant,0.0
2048,ตราด,Infant,0.0
2049,ตราด,Infant,0.0
2050,ตราด,Infant,0.0
2013,ฉะเชิงเทรา,Infant,25626.625316552192
2014,ฉะเชิงเทรา,Infant,24779.911780934122
2015,ฉะเชิงเทรา,Infant,24332.07956454442
2016,ฉะเชิงเทรา,Infant,23060.215626184105
2017,ฉะเชิงเทรา,Infant,22500.497156596728
2018,ฉะเชิงเทรา,Infant,21716.27820244056
2019,ฉะเชิงเทรา,Infant,21303.595106668497
2020,ฉะเชิงเทรา,Infant,20783.65120324603
2021,ฉะเชิงเทรา,Infant,20001.378725369494
2022,ฉะเชิงเทรา,Infant,18982.03788933321
2023,ฉะเชิงเทรา,Infant,17814.95835325217
2024,ฉะเชิงเทรา,Infant,17030.090069367376
2025,ฉะเชิงเทรา,Infant,16245.221785482581
2026,ฉะเชิงเทรา,Infant,15460.353501597789
2027,ฉะเชิงเทรา,Infant,14675.485217712994
2028,ฉะเชิงเทรา,Infant,13890.616933828202
2029,ฉะเชิงเทรา,Infant,13105.748649943409
2030,ฉะเชิงเทรา,Infant,12320.880366058616
2031,ฉะเชิงเทรา,Infant,11536.012082173822
2032,ฉะเชิงเทรา,Infant,10751.14379828903
2033,ฉะเชิงเทรา,Infant,9966.275514404237
2034,ฉะเชิงเทรา,Infant,9181.407230519442
2035,ฉะเชิงเทรา,Infant,8396.53894663465
2036,ฉะเชิงเทรา,Infant,7611.670662749857
2037,ฉะเชิงเทรา,Infant,6826.802378865063
2038,ฉะเชิงเทรา,Infant,6041.93409498027
2039,ฉะเชิงเทรา,Infant,5257.065811095477
2040,ฉะเชิงเทรา,Infant,4472.197527210683
2041,ฉะเชิงเทรา,Infant,3687.3292433258903
2042,ฉะเชิงเทรา,Infant,2902.4609594410977
2043,ฉะเชิงเทรา,Infant,2117.592675556305
2044,ฉะเชิงเทรา,Infant,1332.7243916715124
2045,ฉะเชิงเทรา,Infant,547.8561077867162
2046,ฉะเชิงเทรา,Infant,0.0
2047,ฉะเชิงเทรา,Infant,0.0
2048,ฉะเชิงเทรา,Infant,0.0
2049,ฉะเชิงเทรา,Infant,0.0
2050,ฉะเชิงเทรา,Infant,0.0
2013,ปราจีนบุรี,Infant,17571.490601717433
2014,ปราจีนบุรี,Infant,17146.61272915616
